ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8039871	3.42e-03	1.92e-03	-3.309284	-2.075809	-0.726688	KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
8125903	3.42e-03	1.92e-03	-3.309187	-2.076069	-0.374537	TULP1	tubby like protein 1
8149592	3.42e-03	1.92e-03	-3.309091	-2.076325	-0.440027	SLC18A1	solute carrier family 18 member A1
8153536	3.43e-03	1.92e-03	3.308644	-2.077515	0.270206	PUF60	poly(U) binding splicing factor 60
8023554	3.43e-03	1.92e-03	-3.308469	-2.077981	-0.395714	CPLX4	complexin 4
7978527	3.43e-03	1.92e-03	3.308194	-2.078713	0.408506	DTD2	D-tyrosyl-tRNA deacylase 2 (putative)
7897128	3.43e-03	1.93e-03	-3.307925	-2.079431	-0.32981	ACTRT2	actin related protein T2
7935027	3.43e-03	1.93e-03	3.307778	-2.079821	0.350208	IDE	insulin degrading enzyme
7953569	3.43e-03	1.93e-03	3.307677	-2.080091	0.666121	PTPN6	protein tyrosine phosphatase, non-receptor type 6
8029754	3.43e-03	1.93e-03	-3.307611	-2.080267	-0.307934	FOXA3	forkhead box A3
8003953	3.43e-03	1.93e-03	3.307562	-2.080396	0.391975	PSMB6	proteasome subunit beta 6
8025766	3.44e-03	1.93e-03	3.306927	-2.082088	0.458518	CARM1	coactivator associated arginine methyltransferase 1
8094938	3.44e-03	1.93e-03	-3.306804	-2.082416	-0.407158	NIPAL1	NIPA like domain containing 1
7997158	3.45e-03	1.94e-03	-3.305966	-2.084646	-0.352025	MARVELD3	MARVEL domain containing 3
8046276	3.45e-03	1.94e-03	-3.305893	-2.084841	-0.298945	SP5	Sp5 transcription factor
8142580	3.45e-03	1.94e-03	-3.3053	-2.086419	-0.287759	FEZF1	FEZ family zinc finger 1
7974425	3.45e-03	1.94e-03	3.305284	-2.086462	0.502721	SAMD4A	sterile alpha motif domain containing 4A
8095404	3.46e-03	1.94e-03	-3.305036	-2.087122	-0.639844	UGT2B28	UDP glucuronosyltransferase family 2 member B28
7911591	3.46e-03	1.94e-03	3.3049	-2.087484	0.389302	SLC35E2B	solute carrier family 35 member E2B
